Source,Destination,Protocol,Length
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,221
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,199
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,177.77.205.145,TCP,62
192.168.248.21,200.58.181.182,TCP,62
192.168.248.21,82.213.131.86,TCP,62
192.168.248.21,46.191.175.120,TCP,62
192.168.248.21,85.29.155.183,TCP,62
192.168.248.21,124.39.226.162,TCP,62
192.168.248.21,212.112.118.140,TCP,62
192.168.248.21,188.136.160.76,TCP,62
192.168.248.21,186.22.103.242,TCP,62
192.168.248.21,170.51.184.159,TCP,62
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
46.191.175.120,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
